zip,total_calls,pct_calls,NAME,variable,estimate,moe
20874,62,9.408194233687405,ZCTA5 20874,living,61087,1882
20852,56,8.49772382397572,ZCTA5 20852,living,46178,1465
20906,51,7.7389984825493165,ZCTA5 20906,living,70749,1502
20877,50,7.587253414264036,ZCTA5 20877,living,38423,1388
20850,43,6.525037936267071,ZCTA5 20850,living,53176,1215
20878,43,6.525037936267071,ZCTA5 20878,living,63030,1254
20902,40,6.0698027314112295,ZCTA5 20902,living,52908,1695
20904,40,6.0698027314112295,ZCTA5 20904,living,55275,1657
20910,31,4.704097116843703,ZCTA5 20910,living,44301,1556
20886,25,3.793626707132018,ZCTA5 20886,living,34834,1343
20876,22,3.338391502276176,ZCTA5 20876,living,30778,1207
20853,20,3.0349013657056148,ZCTA5 20853,living,31061,945
20879,20,3.0349013657056148,ZCTA5 20879,living,26164,1451
20901,19,2.8831562974203337,ZCTA5 20901,living,36278,1200
20817,18,2.731411229135053,ZCTA5 20817,living,37315,971
20871,14,2.12443095599393,ZCTA5 20871,living,18628,923
20895,14,2.12443095599393,ZCTA5 20895,living,19026,651
20855,12,1.8209408194233687,ZCTA5 20855,living,15287,1038
20814,10,1.5174506828528074,ZCTA5 20814,living,29021,899
20854,8,1.2139605462822458,ZCTA5 20854,living,49189,1010
20872,8,1.2139605462822458,ZCTA5 20872,living,12603,664
20882,8,1.2139605462822458,ZCTA5 20882,living,13988,703
20815,6,0.9104704097116844,ZCTA5 20815,living,30664,861
20851,6,0.9104704097116844,ZCTA5 20851,living,15489,1214
20903,6,0.9104704097116844,ZCTA5 20903,living,27973,1683
20866,5,0.7587253414264037,ZCTA5 20866,living,16365,961
20816,4,0.6069802731411229,ZCTA5 20816,living,16316,556
20905,4,0.6069802731411229,ZCTA5 20905,living,18662,1245
20841,3,0.4552352048558422,ZCTA5 20841,living,11443,728
20832,2,0.30349013657056145,ZCTA5 20832,living,26437,669
20837,2,0.30349013657056145,ZCTA5 20837,living,6287,276
20860,2,0.30349013657056145,ZCTA5 20860,living,2855,611
20707,1,0.15174506828528073,ZCTA5 20707,living,32798,979
20833,1,0.15174506828528073,ZCTA5 20833,living,7369,537
20861,1,0.15174506828528073,ZCTA5 20861,living,1449,285
20889,1,0.15174506828528073,NA,NA,NA,NA
21794,1,0.15174506828528073,ZCTA5 21794,living,2277,455
